readability,linguistic_abstractness,coherence,financial_key_point_coverage,background_context_adequacy,management_sentiment_conveyance,future_outlook_analysis,factual_accuracy,file,model,condition,avg_textual_quality,avg_financial_professionalism,avg_overall
4,4,4,4,3,4,4,3,ABM_q3_2021_p5_output.json,findebate,findebate,4.0,3.6,3.75
4,4,4,4,3,4,4,3,AME_q1_2021_p5_output.json,findebate,findebate,4.0,3.6,3.75
2,2,2,2,1,1,1,1,CFR_q3_2019_p5_output.json,findebate,findebate,2.0,1.2,1.5
4,4,4,4,3,3,4,3,CMI_q1_2014_p5_output.json,findebate,findebate,4.0,3.4,3.625
2,2,2,2,1,1,1,1,CMI_q1_2015_p5_output.json,findebate,findebate,2.0,1.2,1.5
3,4,4,4,3,4,4,3,CMI_q3_2014_p5_output.json,findebate,findebate,3.667,3.6,3.625
4,4,4,3,3,4,3,2,CMI_q4_2013_p5_output.json,findebate,findebate,4.0,3.0,3.375
4,4,4,4,3,3,4,3,CMI_q4_2014_p5_output.json,findebate,findebate,4.0,3.4,3.625
3,3,3,4,2,3,3,3,CMI_q4_2015_p5_output.json,findebate,findebate,3.0,3.0,3.0
4,4,4,4,3,4,4,3,CPF_q4_2019_p5_output.json,findebate,findebate,4.0,3.6,3.75
4,4,4,4,4,4,4,4,DE_q1_2014_p5_output.json,findebate,findebate,4.0,4.0,4.0
4,4,4,3,4,3,3,3,DE_q2_2014_p5_output.json,findebate,findebate,4.0,3.2,3.5
4,4,4,4,3,4,4,3,DE_q3_2013_p5_output.json,findebate,findebate,4.0,3.6,3.75
3,4,4,4,3,3,4,3,DE_q3_2014_p5_output.json,findebate,findebate,3.667,3.4,3.5
4,4,4,2,3,3,3,2,DE_q4_2012_p5_output.json,findebate,findebate,4.0,2.6,3.125
4,4,4,4,3,4,4,3,DE_q4_2014_p5_output.json,findebate,findebate,4.0,3.6,3.75
4,4,4,3,3,4,2,3,DNB_q2_2021_p5_output.json,findebate,findebate,4.0,3.0,3.375
4,4,4,4,3,4,4,3,DOV_q2_2020_p5_output.json,findebate,findebate,4.0,3.6,3.75
4,4,4,4,3,3,4,3,DX_q1_2021_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,4,3,4,4,3,ETN_q1_2014_p5_output.json,findebate,findebate,4.0,3.6,3.75
4,4,4,2,3,1,3,1,FAF_q4_2020_p5_output.json,findebate,findebate,4.0,2.0,2.75
4,4,4,4,3,3,4,3,FIS_q4_2020_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,4,3,4,4,3,FN_q2_2021_p5_output.json,findebate,findebate,4.0,3.6,3.75
4,4,4,4,3,4,4,3,FSS_q2_2021_p5_output.json,findebate,findebate,4.0,3.6,3.75
4,4,4,4,3,4,3,3,GCO_q1_2022_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,4,3,4,4,3,GD_q1_2021_p5_output.json,findebate,findebate,4.0,3.6,3.75
4,4,4,4,3,3,4,3,GLW_q1_2021_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,2,3,3,3,2,GNW_q2_2021_p5_output.json,findebate,findebate,4.0,2.6,3.125
4,4,4,2,3,3,3,1,HR_q2_2021_p5_output.json,findebate,findebate,4.0,2.4,3.0
4,4,4,3,3,4,4,3,HTH_q4_2020_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,4,3,3,4,3,JBL_q4_2021_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,2,3,3,2,3,KMT_q1_2022_p5_output.json,findebate,findebate,4.0,2.6,3.125
4,4,4,4,3,3,4,3,KW_q3_2021_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,4,3,4,3,3,LH_q3_2021_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,3,3,3,4,3,LNN_q3_2021_p5_output.json,findebate,findebate,4.0,3.2,3.5
4,4,4,4,3,4,3,4,LYB_q3_2021_p5_output.json,findebate,findebate,4.0,3.6,3.75
2,2,2,2,1,1,1,1,MDT_q2_2022_p5_output.json,findebate,findebate,2.0,1.2,1.5
4,4,4,4,3,3,4,3,MKC_q2_2021_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,3,3,3,2,2,MSI_q3_2021_p5_output.json,findebate,findebate,4.0,2.6,3.125
4,4,4,4,3,4,4,3,MYE_q2_2020_p5_output.json,findebate,findebate,4.0,3.6,3.75
4,4,4,2,3,3,3,3,NEE_q3_2021_p5_output.json,findebate,findebate,4.0,2.8,3.25
4,4,4,4,3,3,3,4,NPO_q2_2021_p5_output.json,findebate,findebate,4.0,3.4,3.625
4,4,4,3,3,3,2,2,OHI_q4_2021_p5_output.json,findebate,findebate,4.0,2.6,3.125
